userid,movieid,rating
177049,fando+and+lis+1968,4
258120,battle+in+seattle+2007,3
346134,excuse+me+darling_+but+lucas+loved+me+1997,3
28171,how+to+train+your+dragon+2+2014,4
324954,big+hero+6+2014,4
9903,dont+look+back+1967,5
97672,harry+potter+and+the+deathly+hallows+part+2+2011,4
276313,skipped+parts+2000,4
306635,the+crucified+lovers+1954,3
199260,mirror+1975,4
113151,the+boy+in+the+striped+pyjamas+2008,4
238608,up+close++personal+1996,4
307317,a+personal+journey+with+martin+scorsese+through+american+movies+1995,4
43381,meshes+of+the+afternoon+1943,5
9631,the+incredibles+2004,3
253683,sabata+1969,4
340019,montana+1950,3
284233,into+the+sun+2005,2
263768,airplane+1980,4
75954,its+in+the+water+1997,4
61436,the+hobbit+an+unexpected+journey+2012,3
302726,harry+potter+and+the+order+of+the+phoenix+2007,4
281130,how+to+train+your+dragon+2+2014,4
118863,forrest+gump+1994,3
258212,bad+day+at+black+rock+1955,3
329816,wild+reeds+1994,3
60094,doomsday+book+2012,3
185361,harry+potter+and+the+deathly+hallows+part+2+2011,3
192246,roman+holiday+1953,4
310809,planet+of+the+vampires+1965,4
36323,drugstore+cowboy+1989,4
148277,whisper+of+the+heart+1995,4
93925,constantine+2005,4
154533,first+blood+1982,4
325070,the+avengers+2012,4
290330,alice+1990,3
176173,snow+white+and+the+seven+dwarfs+1937,3
274026,iron+man+2+2010,5
309974,better+living+through+chemistry+2014,3
196395,magnum+force+1973,3
201497,the+hobbit+the+battle+of+the+five+armies+2014,4
18833,twelve+monkeys+1995,5
166295,kingpin+1996,4
241978,harry+potter+and+the+deathly+hallows+part+2+2011,5
349767,ivan+vasilyevich+changes+his+profession+1973,4
234609,dirkie+-+lost+in+the+desert+1969,4
182070,the+spongebob+movie+sponge+out+of+water+2015,3
70250,picture+this+2008,3
342938,its+a+gift+1934,4
77686,hurry+sundown+1967,3
211865,caprice+1967,4
175107,the+deep+end+2001,3
297358,walle+2008,4
291373,a+boy+and+his+dog+1975,3
175645,the+dark+knight+rises+2012,3
104945,tai+chi+hero+2012,3
317362,the+lion+king+1994,3
179083,purpose+2002,4
40377,spirited+away+2001,4
22953,the+candy+snatchers+1973,4
247344,dial+m+for+murder+1954,4
149340,les+misrables+1998,3
342702,shrek+2001,4
165807,the+wind+in+the+willows+1995,3
59229,the+sleeping+car+murder+1965,4
80397,american+friends+1991,3
253474,skin+game+1971,3
345804,mulan+1998,4
81930,the+man+who+knew+too+much+1956,4
139344,boyz+n+the+hood+1991,4
93269,the+nuns+story+1959,3
2106,the+hunger+games+mockingjay+-+part+1+2014,4
85548,hysteria+2011,3
172671,clash+of+the+wolves+1925,4
144759,the+green+mile+1999,4
284222,the+roaring+twenties+1939,4
285222,dracula+untold+2014,4
261292,dragon+age+redemption+2011,2
298977,the+rolling+stones+gimme+shelter+1970,5
284606,captain+blood+1935,5
26916,my+neighbor+totoro+1988,4
159684,punk+in+london+1977,3
33455,galaxy+quest+1999,3
346609,the+third+wave+2003,2
60062,the+impossible+2012,4
24223,cake+2014,4
340278,only+old+men+are+going+to+battle+1973,3
101203,the+shawshank+redemption+1994,4
199926,bent+1997,4
350506,how+to+train+your+dragon+2+2014,3
157393,the+curse+of+the+werewolf+1961,3
152942,indiana+jones+and+the+last+crusade+1989,3
215025,begone+dull+care+1949,4
116156,love+exposure+2008,4
330629,the+shawshank+redemption+1994,5
84099,a+lesson+before+dying+1999,3
132191,santa+claus+1959,3
10189,the+motel+2005,3
162950,snow+white+and+the+seven+dwarfs+1937,4
306047,the+quare+fellow+1962,3
317190,star+wars+1977,5
299328,guardians+of+the+galaxy+2014,4
323238,guardians+of+the+galaxy+2014,3
261656,dark+water+2002,3
300551,harry+potter+and+the+deathly+hallows+part+1+2010,2
286161,rocks+in+my+pockets+2014,5
